path,name,dataset,language,feature_extractor,classifier,repeat,WSS@95%,RRF@10%,ATD
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_11.h5,Hall_2012,DE,doc2vec,logistic,3,88.46699149,100,2.697882691
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_12.h5,Hall_2012,DE,doc2vec,logistic,4,88.63536055,100,2.787461572
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_13.h5,Hall_2012,DE,doc2vec,logistic,5,88.91597566,100,2.747576085
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_14.h5,Hall_2012,DE,doc2vec,logistic,6,88.56801293,100,2.796397665
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_15.h5,Hall_2012,DE,doc2vec,logistic,7,88.84862804,100,2.833122827
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_2.h5,Hall_2012,DE,doc2vec,logistic,8,89.09556933,100,2.894803662
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_3.h5,Hall_2012,DE,doc2vec,logistic,9,88.90475106,100,2.917797754
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_4.h5,Hall_2012,DE,doc2vec,logistic,10,88.69148358,100,2.789096223
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_5.h5,Hall_2012,DE,doc2vec,logistic,11,88.83740343,100,2.604925531
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_6.h5,Hall_2012,DE,doc2vec,logistic,12,88.82617883,100,2.790077014
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_7.h5,Hall_2012,DE,doc2vec,logistic,13,88.97209868,100,2.691671017
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_8.h5,Hall_2012,DE,doc2vec,logistic,14,88.84862804,100,2.728396178
D:\Thesis\output\DE\doc2vec\logistic,Hall_2012_DE_9.h5,Hall_2012,DE,doc2vec,logistic,15,88.91597566,100,2.831815106
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_1.h5,van_de_Schoot_2017,DE,doc2vec,logistic,1,87.18895995,100,3.649164531
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_10.h5,van_de_Schoot_2017,DE,doc2vec,logistic,2,86.96267904,100,3.587976325
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_11.h5,van_de_Schoot_2017,DE,doc2vec,logistic,3,89.04769601,100,3.496771264
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_12.h5,van_de_Schoot_2017,DE,doc2vec,logistic,4,86.60709475,97.61904762,3.240473497
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_13.h5,van_de_Schoot_2017,DE,doc2vec,logistic,5,87.33442625,100,3.474451038
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_14.h5,van_de_Schoot_2017,DE,doc2vec,logistic,6,89.257814,100,3.663018464
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_15.h5,van_de_Schoot_2017,DE,doc2vec,logistic,7,87.59303301,100,3.232007204
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_2.h5,van_de_Schoot_2017,DE,doc2vec,logistic,8,87.23744872,100,3.195448213
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_3.h5,van_de_Schoot_2017,DE,doc2vec,logistic,9,86.33232507,100,3.31667013
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_4.h5,van_de_Schoot_2017,DE,doc2vec,logistic,10,88.54664542,100,4.00975163
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_5.h5,van_de_Schoot_2017,DE,doc2vec,logistic,11,87.20512288,100,3.147344278
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_6.h5,van_de_Schoot_2017,DE,doc2vec,logistic,12,88.98304432,100,3.673793746
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_7.h5,van_de_Schoot_2017,DE,doc2vec,logistic,13,87.35058918,100,3.456363958
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_8.h5,van_de_Schoot_2017,DE,doc2vec,logistic,14,87.02733073,100,3.512164523
D:\Thesis\output\DE\doc2vec\logistic,van_de_Schoot_2017_DE_9.h5,van_de_Schoot_2017,DE,doc2vec,logistic,15,87.54454424,100,3.23085271
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_1.h5,ACEInhibitors,DE,multilingual_post,logistic,1,68.24940991,85,7.330350118
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_10.h5,ACEInhibitors,DE,multilingual_post,logistic,2,77.14004721,87.5,7.842741935
D:\Thesis\output\DE\multilingual_post\logistic,ACEInhibitors_DE_11.h5,ACEInhibitors,DE,multilingual_post,logistic,3,74.07159717,87.5,6.764850511
